ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
15,HAWAII,HI,15003,Honolulu,15003004000,"Census Tract 40, Honolulu County, Hawaii",0.115074998386,1245,163,960,45,696,79,114,67,34,27,78922,18631,21,17,321,75,94,28,123,67,3,12,790,200,38,50,928,48,0,11,11,14,178,51,46,78,9.2,4.8,4.5,3.4,78922.0,18631.0,1.9,1.6,25.8,5.6,7.6,2.0,10.3,5.2,0.4,1.7,63.5,13.8,3.3,4.3,96.7,2.2,0.0,2.8,1.6,2.0,25.6,6.4,3.7,6.2,0.5788,0.609,0.0128,0.0987,1.2993,0.2419,0.8631,0.0478,0.3891,0.0382,1.3382,0.0965,0.2389,0.5478,0.7867,0.379,0.9777,0.0,0.1115,0.9196,0.8312,2.84,0.7717,6.2642,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,14,21,1.2,1.7,8448
15,HAWAII,HI,15003,Honolulu,15003004100,"Census Tract 41, Honolulu County, Hawaii",0.260082940424,4287,498,2504,83,2273,151,494,429,37,36,33420,4732,412,162,783,131,554,298,761,220,42,40,3671,563,242,123,1868,240,13,22,284,142,331,139,8,9,11.5,9.1,1.4,1.4,33420.0,4732.0,11.5,4.1,18.3,3.5,12.9,6.8,18.0,5.7,1.8,1.8,85.6,8.6,5.9,3.0,74.6,9.3,0.5,0.9,12.5,6.2,14.6,5.9,0.2,0.2,0.6945,0.0962,0.508,0.7962,2.0949,0.5516,0.4809,0.1369,0.955,0.1242,1.697,0.2701,0.5955,0.7357,1.3312,0.7006,0.8949,0.8328,0.758,0.8135,0.3726,3.6718,0.9582,8.7949,0.771,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,72,45,1.7,1.1,9380
15,HAWAII,HI,15003,Honolulu,15003004200,"Census Tract 42, Honolulu County, Hawaii",0.099922425396,3262,288,2064,43,1799,118,289,98,9,18,59594,7282,103,63,702,126,406,104,342,101,58,47,2581,318,168,94,2006,91,7,11,176,76,403,97,0,11,8.9,3.1,0.4,0.9,59594.0,7282.0,3.8,2.3,21.5,3.8,12.4,3.0,10.7,3.0,3.2,2.6,79.1,6.8,5.4,3.0,97.2,3.9,0.3,0.6,9.8,4.2,22.4,5.2,0.0,0.3,0.5531,0.0321,0.0511,0.2516,0.8879,0.1258,0.6815,0.1115,0.4309,0.2325,1.4564,0.135,0.4554,0.7102,1.1656,0.621,0.9873,0.7781,0.6465,0.8907,0.0,3.3026,0.9035,6.8125,0.4484,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,145,87,4.5,2.8,2740
15,HAWAII,HI,15003,Honolulu,15003004300,"Census Tract 43, Honolulu County, Hawaii",0.512859672702,5630,545,2584,54,2259,161,597,311,102,84,37781,5751,268,166,862,169,990,242,620,191,148,95,5155,580,333,207,1239,235,0,15,157,86,554,183,43,40,10.6,5.5,3.7,2.8,37781.0,5751.0,6.3,3.9,15.3,3.0,17.6,3.9,11.3,3.5,6.6,4.2,91.6,5.3,6.2,3.8,47.9,9.1,0.0,1.1,6.9,3.8,24.5,7.6,0.8,0.7,0.6559,0.4744,0.345,0.5064,1.9817,0.4968,0.3217,0.3344,0.5113,0.5924,1.7598,0.3151,0.8503,0.7484,1.5987,0.8631,0.8185,0.0,0.5096,0.91,0.5701,2.8082,0.7492,8.1484,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,389,281,7.1,5.1,4506
15,HAWAII,HI,15003,Honolulu,15003004400,"Census Tract 44, Honolulu County, Hawaii",1.443661246834,5634,438,1704,60,1557,99,283,176,73,35,33513,3522,253,72,1274,192,1120,144,842,182,22,16,5261,450,209,127,0,21,13,14,151,51,111,44,5,9,5.0,3.1,2.6,1.3,33513.0,3522.0,6.1,1.8,22.6,3.1,19.9,2.0,15.1,2.9,1.4,1.1,93.4,3.3,4.0,2.4,0.0,1.2,0.8,0.8,9.7,3.2,7.1,2.8,0.1,0.2,0.2926,0.2756,0.4984,0.4745,1.5411,0.3161,0.7293,0.4968,0.836,0.0924,2.1545,0.6174,0.8854,0.621,1.5064,0.8153,0.0,0.8971,0.6433,0.6431,0.3248,2.5083,0.6367,7.7103,0.6258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,181,5.8,3.2,1775
15,HAWAII,HI,15003,Honolulu,15003004500,"Census Tract 45, Honolulu County, Hawaii",2.978349515086,6007,747,2466,125,2249,184,262,172,75,78,60856,10939,239,134,1717,259,1062,362,503,141,25,31,4626,849,90,101,944,175,0,15,172,132,199,88,111,91,4.4,2.8,2.4,2.6,60856.0,10939.0,5.1,2.7,28.6,4.6,17.7,5.6,8.4,2.4,1.1,1.4,77.0,10.4,1.6,1.8,38.3,6.9,0.0,1.1,7.6,5.8,8.8,3.9,1.8,1.5,0.2412,0.2468,0.0479,0.4013,0.9372,0.1484,0.9268,0.3439,0.1768,0.0732,1.5207,0.1608,0.4076,0.293,0.7006,0.3121,0.7771,0.0,0.551,0.7106,0.7325,2.7712,0.7395,5.9297,0.3129,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,87,80,1.5,1.4,3169
15,HAWAII,HI,15003,Honolulu,15003004600,"Census Tract 46, Honolulu County, Hawaii",2.639124545008,4018,479,1285,53,1193,81,145,203,55,40,50128,6208,144,96,990,133,781,187,456,124,11,14,3626,501,103,69,0,15,0,11,52,43,103,58,181,198,3.7,5.0,2.9,2.3,50128.0,6208.0,4.7,3.0,24.6,3.0,19.4,4.0,11.6,2.9,0.9,1.2,90.2,6.4,2.7,1.8,0.0,1.2,0.0,2.1,4.4,3.6,8.6,4.7,4.5,4.9,0.1736,0.3173,0.1118,0.3503,0.953,0.1548,0.8153,0.4554,0.5531,0.0605,1.8843,0.4019,0.7771,0.4777,1.2548,0.6624,0.0,0.0,0.3057,0.6977,0.8535,1.8569,0.3826,5.949,0.3194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,47,1.7,1.2,1520
15,HAWAII,HI,15003,Honolulu,15003004700,"Census Tract 47, Honolulu County, Hawaii",0.541829291864,4857,490,1654,48,1478,106,315,125,88,63,53780,18482,340,122,1235,149,965,240,383,97,68,49,4300,507,185,91,0,15,0,11,94,60,98,57,35,20,6.5,2.5,3.6,2.6,53780.0,18482.0,9.6,3.3,25.4,3.3,19.9,4.5,7.9,1.9,4.6,3.3,88.5,5.4,4.1,2.0,0.0,0.9,0.0,1.6,6.4,4.1,6.6,3.8,0.7,0.4,0.3955,0.4295,0.0799,0.7134,1.6183,0.3516,0.8535,0.4968,0.1608,0.3535,1.8646,0.3859,0.7134,0.6306,1.344,0.7102,0.0,0.0,0.4745,0.6174,0.535,1.6269,0.299,6.4538,0.3968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,156,5.3,3.2,2755
15,HAWAII,HI,15003,Honolulu,15003004800,"Census Tract 48, Honolulu County, Hawaii",1.348188646988,6990,682,1764,94,1633,120,879,298,156,90,28140,2936,778,157,1242,186,1323,269,1001,265,80,52,6590,712,626,221,130,79,0,15,204,97,169,74,756,196,13.2,4.2,4.3,2.5,28140.0,2936.0,15.2,3.0,17.8,2.8,18.9,3.4,14.7,3.7,4.9,3.2,94.3,4.4,9.4,3.2,7.4,4.5,0.0,1.5,12.5,5.9,10.3,4.6,10.8,2.6,0.7749,0.5769,0.6997,0.8981,2.9496,0.8419,0.449,0.4363,0.8103,0.3949,2.0905,0.5595,0.8981,0.8567,1.7548,0.9268,0.5032,0.0,0.758,0.7395,0.9268,2.9275,0.8071,9.7224,0.8548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,283,152,4.2,2.2,4664
15,HAWAII,HI,15003,Honolulu,15003004900,"Census Tract 49, Honolulu County, Hawaii",0.158845837718,3398,290,1048,40,917,72,380,130,69,62,23696,1888,466,88,785,112,618,150,329,77,106,62,3250,297,443,114,261,58,0,11,127,40,113,40,122,77,11.5,3.9,4.0,3.6,23696.0,1888.0,18.8,3.7,23.1,3.1,18.2,4.1,10.0,2.3,11.6,6.7,95.6,3.2,13.8,3.4,24.9,5.5,0.0,2.6,13.8,4.3,12.3,4.2,3.6,2.2,0.6945,0.5353,0.8403,0.9427,3.0128,0.8581,0.7611,0.3662,0.3537,0.8822,2.3632,0.7781,0.9268,0.9331,1.8599,0.9618,0.7102,0.0,0.7962,0.7621,0.8217,3.0902,0.8424,10.3261,0.9194,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,3,47,27,1.4,0.9,1997
